Date,Timestamp,X,Y,Z
25/09/2023,1695682104,-0.002270345,0.000615723,-0.010019877
25/09/2023,1695682104,-0.000241549,0.002076999,-0.009556754
25/09/2023,1695682104,-0.00672608,-0.001867409,-0.010472881
25/09/2023,1695682104,-0.006122075,0.013684386,-0.00656629
25/09/2023,1695682104,0.013210344,0.007033675,-0.005782255
25/09/2023,1695682104,-0.013247895,-0.000736098,-0.00703474
25/09/2023,1695682104,0.000354733,0.022502646,-0.000371777
25/09/2023,1695682104,-0.00259019,-0.018192319,-0.018422417
25/09/2023,1695682104,0.010611898,0.025122397,-0.010609767
25/09/2023,1695682104,-0.012801017,-0.003926299,-0.013696903
25/09/2023,1695682104,-0.003024019,-0.002749447,-0.008390022
25/09/2023,1695682104,0.012101936,-0.007084807,-0.014140853
25/09/2023,1695682104,-0.005009938,-0.002793922,-0.016969396
25/09/2023,1695682104,-0.000354467,-5.03E-05,-0.000428503
25/09/2023,1695682105,-0.004247742,-0.007641142,-0.000920655
25/09/2023,1695682105,-0.010806575,-0.011037737,-0.002799515
25/09/2023,1695682105,0.016021844,-0.01235254,-0.009224391
25/09/2023,1695682105,-0.002202168,-0.008202003,-0.01588762
25/09/2023,1695682105,0.012293152,-0.000846353,-0.000838097
25/09/2023,1695682105,-0.011140003,-0.000536361,-0.000140349
25/09/2023,1695682105,0.008124239,0.009711217,0.00336517
25/09/2023,1695682105,0.001535845,-0.016014386,-0.0012152
25/09/2023,1695682105,0.004891162,0.001095624,-0.002194977
25/09/2023,1695682105,0.008505072,-0.002900715,-0.001867409
25/09/2023,1695682105,-0.00392257,0.005784386,3.17E-05
25/09/2023,1695682105,-0.004312457,-0.008051002,0.002583799
25/09/2023,1695682105,0.007262707,0.003311641,-0.003949468
25/09/2023,1695682105,-0.005819273,-0.00408449,-0.009198292
25/09/2023,1695682105,-0.015301192,0.003855192,-0.004146542
25/09/2023,1695682105,0.010930944,-0.008913866,-0.008812133
25/09/2023,1695682105,-0.004067978,-0.002885801,-0.011069163
25/09/2023,1695682105,0.005134308,-0.004728176,0.001137702
25/09/2023,1695682105,-0.008555938,-0.010064086,0.003512443
25/09/2023,1695682105,-0.001776595,0.015976569,0.002441852
25/09/2023,1695682106,0.001400024,-0.007995076,-0.007624364
25/09/2023,1695682106,0.009802563,0.007636881,-0.007147925
25/09/2023,1695682106,-0.00085594,-0.019723903,-0.011619105
25/09/2023,1695682106,-0.003900466,-0.000329167,-0.001537976
25/09/2023,1695682106,-0.008370582,-0.004782239,-0.003834686
25/09/2023,1695682106,-0.01106863,0.005587578,-0.00259019
25/09/2023,1695682106,0.002107093,-0.012359997,-0.005962817
25/09/2023,1695682106,0.00052198,-0.014207166,0.00190203
25/09/2023,1695682106,-0.008504805,-0.002806705,0.00674845
25/09/2023,1695682106,-0.006124205,-0.005468003,-0.000666856
25/09/2023,1695682106,0.010174341,6.10E-05,-0.012381835
25/09/2023,1695682106,-0.01563968,-0.008201737,-0.004238421
25/09/2023,1695682106,-0.004699148,0.005512477,0.004355334
25/09/2023,1695682106,0.006095443,-0.013124324,-0.008984174
25/09/2023,1695682106,-0.001191232,0.007786551,-0.011638546
25/09/2023,1695682106,-0.010149573,0.000467917,-0.000508664
25/09/2023,1695682106,0.011197527,0.000518784,-0.002471147
25/09/2023,1695682106,-0.007693606,-0.006629141,-0.004710333
25/09/2023,1695682106,0.007833955,0.00839961,0.001214135
25/09/2023,1695682106,-0.004779309,-0.018452244,-0.00856659
25/09/2023,1695682107,0.004103931,0.00741424,0.00080241
25/09/2023,1695682107,-0.005269597,-0.008713597,-0.001536644
25/09/2023,1695682107,0.001261273,-0.007604923,-0.002609898
25/09/2023,1695682107,-0.00289459,0.022607841,-0.008388424
25/09/2023,1695682107,-0.002978479,-0.034090593,-0.01069126
25/09/2023,1695682107,0.022445921,0.003692473,0.002076999
25/09/2023,1695682107,-0.011552527,-0.017218135,0.003531085
25/09/2023,1695682107,-0.004624845,0.013858025,0.012343219
25/09/2023,1695682107,-0.000937166,-0.010159161,-0.00359074
25/09/2023,1695682107,0.004339355,0.011684885,-0.019508453
25/09/2023,1695682107,0.007892544,-0.005062669,-0.009206547
25/09/2023,1695682107,-0.016920393,-0.006240585,0.003740942
25/09/2023,1695682107,-0.00809521,-0.001536378,-0.005923403
25/09/2023,1695682107,0.01651586,0.003190733,-0.006332198
25/09/2023,1695682107,-0.01322872,-0.017639713,-0.001820537
25/09/2023,1695682107,4.45E-05,0.016522251,0.007544203
25/09/2023,1695682107,-0.0028107,-0.019592876,-0.003644536
25/09/2023,1695682107,-0.00548265,0.001855158,-0.008818259
25/09/2023,1695682107,0.007628358,-0.008133827,-0.010704842
25/09/2023,1695682107,0.003518568,-0.003685282,-0.004414722
25/09/2023,1695682108,-0.012341089,-0.012985573,-0.002634133
25/09/2023,1695682108,-0.003275156,0.009706955,0.000401338
25/09/2023,1695682108,-0.004831241,-0.014209296,-0.010849984
25/09/2023,1695682108,0.007670703,-0.013709953,-0.006457367
25/09/2023,1695682108,-0.007278153,0.004152135,0.000821851
25/09/2023,1695682108,-0.00710771,-0.004826979,-0.001410676
25/09/2023,1695682108,0.003397661,0.011494203,-0.005651494
25/09/2023,1695682108,0.008241418,-0.013754428,-0.01627804
25/09/2023,1695682108,0.000541953,0.013745373,-0.009439575
25/09/2023,1695682108,-0.014927018,0.002934537,-0.006896256
25/09/2023,1695682108,0.010376475,-0.006138853,-0.013168532
25/09/2023,1695682108,-0.002001099,0.002564624,-0.021373199
25/09/2023,1695682108,0.004649347,0.012706208,-0.003442402
25/09/2023,1695682108,-7.46E-05,-0.00678387,-0.00209138
25/09/2023,1695682108,-0.011853997,0.020338561,-0.004818724
25/09/2023,1695682108,0.007290403,-0.003615774,-0.007423828
25/09/2023,1695682108,-0.003429885,-0.002127333,-0.006651245
25/09/2023,1695682108,-0.008811601,0.012320315,-0.005980394
25/09/2023,1695682108,0.00131427,-0.006808371,-0.00637907
25/09/2023,1695682108,0.000414122,0.023825971,-0.011410047
25/09/2023,1695682109,-0.014078801,-0.003973969,-0.016690031
25/09/2023,1695682109,0.013733922,0.005325523,-0.003942544
25/09/2023,1695682109,0.006506635,-0.006975618,-0.009844908
25/09/2023,1695682109,-0.004288754,0.016294817,0.003001116
25/09/2023,1695682109,0.001302552,-0.001735316,-0.003212039
25/09/2023,1695682109,0.003333212,-0.005173457,-0.014558436
25/09/2023,1695682109,0.008140218,0.026702451,-0.012212724
25/09/2023,1695682109,-0.011591142,-0.000679905,-0.01427694
25/09/2023,1695682109,0.00399341,-0.006209692,-0.009113603
25/09/2023,1695682109,0.001586179,0.015079883,-0.012648418
25/09/2023,1695682109,0.000813862,-0.009425193,-0.005326322
25/09/2023,1695682109,-0.004507666,0.010987404,0.005260009
25/09/2023,1695682109,-0.005240568,-0.001447694,-0.000256196
25/09/2023,1695682109,0.012148276,0.01841709,-0.005306881
25/09/2023,1695682109,0.002751312,-0.011866513,-0.003492203
25/09/2023,1695682109,-0.002915096,-0.00232494,0.001212537
25/09/2023,1695682109,-0.004160657,0.008296279,-0.004873585
25/09/2023,1695682109,-0.002751578,-0.003477556,-0.007044594
25/09/2023,1695682109,0.011494203,0.001132909,-0.002104696
25/09/2023,1695682109,-0.016182166,-0.009577526,-0.002347576
25/09/2023,1695682110,0.016504409,0.002997122,0.007398261
25/09/2023,1695682110,-0.009137039,-0.004540157,0.008294415
25/09/2023,1695682110,-0.015312644,0.007278419,-0.006771354
25/09/2023,1695682110,0.034403779,0.004554538,-0.006781473
25/09/2023,1695682110,-0.018786471,-0.005603025,-0.010840664
25/09/2023,1695682110,-0.001174987,0.003215501,-0.00020746
25/09/2023,1695682110,0.017876735,-0.013154418,-0.005789712
25/09/2023,1695682110,-0.011507785,0.00479582,-0.003921771
25/09/2023,1695682110,-0.00542113,0.002561428,0.006051767
25/09/2023,1695682110,0.000832504,-0.01843733,0.001308677
25/09/2023,1695682110,0.003693272,0.009580722,0.002581402
25/09/2023,1695682110,-0.004798484,-0.010703777,-0.005899967
